,sector,industry,market_cap,country,full_name,revenue_growth,earnings_growth,earnings_quarterly_growth,beta,52week_high,52week_low,52week_change,recommendation,recommendation_mean,target_mean_price,target_high_price,target_low_price,error
EXR,Real Estate,REIT - Industrial,32533334111.26709,United States,Extra Space Storage Inc.,0.034,-0.142,-0.141,1.27,175.58,121.03,-0.18392944,buy,2.33333,157.15,178.0,146.0,
MTB,Financial Services,Banks - Regional,21548000154.418945,United States,M&T Bank Corporation,0.08,0.199,0.098,0.607,225.7,150.75,-0.1646657,buy,2.04762,217.92857,251.0,185.0,
FITB,Financial Services,Banks - Regional,22025345433.11035,United States,Fifth Third Bancorp,0.067,0.167,0.133,1.011,49.07,32.25,-0.100704074,buy,1.81818,50.25,60.0,43.0,
ATO,Utilities,Utilities - Regulated Gas,16750506272.04895,United States,Atmos Energy Corporation,0.196,0.075,0.126,0.749,179.7,136.05,0.2525202,hold,2.69231,171.09091,188.0,141.0,
DTE,Utilities,Utilities - Regulated Electric,21420992201.08545,United States,DTE Energy Company,0.214,-0.124,-0.122,0.468,143.79,115.59,0.0976392,buy,2.17647,149.53847,158.0,125.0,
WRB,Financial Services,Insurance - Property & Casualty,11790502161.22705,United States,W. R. Berkley Corporation,0.108,0.407,0.398,0.381,78.48,55.97,0.2205373,hold,2.64706,74.46667,88.0,56.0,
AEE,Utilities,Utilities - Regulated Electric,17993000892.808838,United States,Ameren Corporation,0.322,0.044,0.066,0.585,106.73,85.7,0.16110289,buy,2.0,111.42857,125.0,90.0,
ES,Utilities,Utilities - Regulated Electric,19847043736.5586,United States,Eversource Energy,0.12,0.008,0.052,0.759,75.25,52.28,0.21614492,buy,2.33333,75.66667,87.0,60.0,
ADM,Consumer Defensive,Farm Products,36084474220.5,United States,Archer-Daniels-Midland Company,0.022,4.891,5.0,,65.0,40.98,0.12880206,hold,3.0,57.6,70.0,50.0,
PPL,Utilities,Utilities - Regulated Electric,18843388011.76733,United States,PPL Corporation,0.077,-0.034,-0.037,0.704,38.27,31.22,0.1136713,buy,1.8125,40.6,44.0,34.0,
SYF,Financial Services,Credit Services,15249432887.802124,United States,Synchrony Financial,0.207,0.474,0.365,1.455,77.41,40.545,0.08576512,buy,1.86957,82.56522,100.0,60.0,
BRO,Financial Services,Insurance Brokers,20030346308.85352,United States,"Brown & Brown, Inc.",0.342,-0.161,-0.03,0.816,125.68,76.96,-0.2871582,hold,2.57143,97.08333,114.0,79.0,
EXPE,Consumer Cyclical,Travel Services,20941880532.714844,United States,"Expedia Group, Inc.",0.064,-0.114,-0.145,1.457,240.98,130.01,0.2343905,buy,2.32432,227.0294,290.0,180.0,
FE,Utilities,Utilities - Regulated Electric,19535783723.16211,United States,FirstEnergy Corp.,0.112,0.045,0.053,0.652,48.2,37.58,0.10990858,buy,2.3125,50.0,54.0,47.0,
CBOE,Financial Services,Financial Data & Stock Exchanges,18516808888.305664,United States,"Cboe Global Markets, Inc.",0.081,0.377,0.377,0.357,255.27,187.3,0.24284863,hold,3.0,256.875,290.0,220.0,
EXE,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
AWK,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
BR,Technology,Information Technology Services,23551053108.428955,United States,"Broadridge Financial Solutions, Inc.",0.062,0.163,0.158,0.997,271.91,212.33,0.0154925585,buy,2.44444,273.125,305.0,240.0,
CNP,Utilities,Utilities - Regulated Electric,17209844000.930786,United States,"CenterPoint Energy, Inc.",0.071,0.506,0.518,0.562,40.5,28.91,0.3349414,buy,2.35294,42.66667,46.0,38.0,
AVB,Real Estate,REIT - Residential,25065267524.039062,United States,"AvalonBay Communities, Inc.",0.002,0.025,0.024,0.748,239.29,166.73,-0.21726757,buy,2.41667,211.5238,235.0,175.0,
EFX,Industrials,Consulting Services,30122089282.10449,United States,Equifax Inc.,0.072,0.142,0.134,1.587,281.07,199.98,-0.2110064,buy,1.95652,269.4,300.0,239.0,
SMCI,Technology,Computer Hardware,1587683096.4378357,United States,"Super Micro Computer, Inc.",0.075,-0.314,-0.343,1.478,66.44,17.25,1.0881057,hold,2.78947,50.9375,93.0,34.0,
LDOS,Technology,Information Technology Services,14609755473.55652,United States,"Leidos Holdings, Inc.",0.067,0.052,0.008,0.589,205.77,123.62,0.02754891,buy,2.0,208.75,230.0,171.0,
HUBB,Industrials,Electrical Equipment & Parts,17248935819.015503,United States,Hubbell Incorporated,0.041,0.141,0.13,0.996,484.26,299.425,-0.026857555,buy,2.21429,481.27274,530.0,405.0,
VLTO,Industrials,Pollution & Treatment Controls,20117918861.23657,United States,Veralto Corporation,0.068,0.08,0.091,1.131,110.11,83.865,-0.032624543,buy,1.94737,115.61111,125.0,100.0,
GIS,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
HPQ,Technology,Computer Hardware,27947654187.394043,United States,HP Inc.,0.031,0.231,0.192,1.221,39.8,21.21,-0.29720944,hold,2.88235,28.2825,30.0,25.0,
DOV,Industrials,Specialty Industrial Machinery,21098823441.00952,United States,Dover Corporation,0.048,-0.126,-0.13,1.312,222.31,143.04,-0.120063186,buy,1.83333,214.72221,242.0,168.0,
CINF,Financial Services,Insurance - Property & Casualty,15548821196.685793,United States,Cincinnati Financial Corporation,0.122,0.367,0.368,0.703,166.9,123.02,0.051509857,buy,2.125,171.0,186.0,150.0,
NTRS,Financial Services,Asset Management,16539415646.209717,United States,Northern Trust Corporation,0.042,0.032,-0.016,1.282,135.48,81.62,0.1967721,hold,3.0625,134.5,155.0,115.0,
WSM,Consumer Cyclical,Specialty Retail,6271668391.181946,United States,"Williams-Sonoma, Inc.",0.027,0.198,0.142,1.539,219.98,125.33,0.4983394,buy,2.3913,204.3158,230.0,138.0,
HBAN,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
TDY,Technology,Scientific & Technical Instruments,21058060166.18957,United States,Teledyne Technologies Incorporated,0.067,-0.161,-0.158,1.026,595.99,419.0,0.06336069,buy,1.54545,621.7273,645.0,584.0,
STE,Healthcare,Medical Devices,21353401269.854736,United States,STERIS plc,0.087,0.221,0.22,1.026,253.0,200.98,0.06298351,buy,2.125,272.375,295.0,231.0,
JBL,Technology,Electronic Components,16324675355.621338,United States,Jabil Inc.,0.185,0.692,0.58,1.257,237.14,108.66,0.518618,none,,247.375,267.0,205.0,
TTD,Communication Services,Advertising Agencies,35281771095.4397,United States,"The Trade Desk, Inc.",0.187,0.059,0.06,1.05,141.53,42.96,-0.62150466,buy,2.18919,68.96875,135.0,34.0,
PHM,Consumer Cyclical,Residential Construction,21972556241.390625,United States,"PulteGroup, Inc.",-0.016,-0.116,-0.161,1.319,142.11,88.07,-0.07377875,buy,2.06667,137.0,160.0,98.0,
ULTA,Consumer Cyclical,Specialty Retail,23794648910.7666,United States,"Ulta Beauty, Inc.",0.093,0.091,0.033,0.869,572.23,309.01,0.33321297,buy,2.11111,575.7826,680.0,405.0,
NTAP,Technology,Software - Infrastructure,17471816792.55078,United States,"NetApp, Inc.",0.012,-0.017,-0.06,1.41,135.45,71.84,-0.06431109,none,,121.14286,140.0,100.0,
DXCM,Healthcare,Medical Devices,47361923276.828125,United States,"DexCom, Inc.",0.216,1.099,1.108,1.524,93.25,56.45,-0.108293235,strong_buy,1.42857,87.0,115.0,75.0,
HAL,Energy,Oil & Gas Equipment & Services,30966374751.15625,United States,Halliburton Company,-0.017,-0.969,-0.968,0.816,32.57,18.72,-0.1209836,buy,1.77778,29.76,43.0,24.0,
STZ,Consumer Defensive,Beverages - Brewers,42619039519.56177,United States,"Constellation Brands, Inc.",-0.15,,,0.463,245.31,127.0,-0.43732035,buy,1.96,172.6087,220.0,118.0,
EQR,Real Estate,REIT - Residential,21670860272.94458,United States,Equity Residential,0.046,1.009,1.015,0.763,78.32,58.38,-0.1681143,buy,2.30769,72.30682,80.0,61.0,
PODD,Healthcare,Medical Devices,15151192349.664309,United States,Insulet Corporation,0.329,-0.877,-0.881,1.379,353.5,230.05,0.33836186,strong_buy,1.44,363.66666,415.0,301.0,
STLD,Basic Materials,Steel,18619237448.364258,United States,"Steel Dynamics, Inc.",0.112,0.337,0.27,1.477,164.73,103.17,-0.017496109,buy,1.66667,167.16667,180.0,145.0,
PTC,Technology,Software - Application,20863106000.595093,United States,PTC Inc.,0.242,1.053,1.049,1.019,219.69,133.38,-0.030347407,buy,1.78947,225.84212,255.0,190.0,
BIIB,Healthcare,Drug Manufacturers - General,37495253868.10303,United States,Biogen Inc.,0.028,0.192,0.201,0.145,179.2,110.04,-0.14375001,buy,2.17143,174.72173,260.0,118.0,
TROW,Financial Services,Asset Management,22148640368.041992,United States,"T. Rowe Price Group, Inc.",0.06,0.087,0.071,1.54,125.81,77.85,-0.1651966,hold,3.35714,110.30769,126.0,98.0,
VRSN,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
WAT,Healthcare,Diagnostics & Research,19466382859.588623,United States,Waters Corporation,0.08,-0.077,-0.078,,423.56,275.05,-0.050040066,buy,2.375,382.86786,460.0,315.0,
CFG,Financial Services,Banks - Regional,14236884232.982544,United States,"Citizens Financial Group, Inc.",0.136,0.364,0.293,1.112,55.24,32.6,0.050093174,strong_buy,1.5,61.825,75.0,56.0,
CMS,Utilities,Utilities - Regulated Electric,16029272240.203856,United States,CMS Energy Corporation,0.16,0.092,0.095,0.474,76.45,63.97,0.07485998,buy,2.25,78.30769,85.0,61.0,
TPR,Consumer Cyclical,Luxury Goods,8088579148.269653,United States,"Tapestry, Inc.",0.083,,,1.664,118.56,49.29,1.1380627,buy,1.7619,122.47368,142.0,66.0,
DG,Consumer Defensive,Discount Stores,28527950634.498047,United States,Dollar General Corporation,0.051,0.094,0.1,0.287,117.95,66.43,0.28885162,buy,2.35484,120.10714,139.0,80.0,
EIX,Utilities,Utilities - Regulated Electric,25101873657.410645,United States,Edison International,0.106,0.636,0.612,0.838,88.65,47.73,-0.3137859,buy,2.0,66.85714,86.0,55.0,
RF,Financial Services,Banks - Regional,16680749413.938477,United States,Regions Financial Corporation,0.156,,0.228,1.054,27.96,17.74,-0.08209807,buy,2.375,28.44565,33.0,25.0,
PPG,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
DLTR,Consumer Defensive,Discount Stores,30948718264.89258,United States,"Dollar Tree, Inc.",0.123,0.479,0.423,0.764,118.06,60.49,0.63547504,buy,2.42857,108.26087,135.0,70.0,
LH,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
DRI,Consumer Cyclical,Restaurants,18521955975.494385,United States,"Darden Restaurants, Inc.",0.104,0.261,0.244,0.656,228.27,159.4,0.0542264,buy,1.93939,221.5,259.0,160.0,
TPL,Energy,Oil & Gas E&P,3925372783.546143,United States,Texas Pacific Land Corporation,0.088,0.014,0.014,0.954,1769.14,845.56,-0.31226218,none,,625.0,625.0,625.0,
INCY,Healthcare,Biotechnology,14071803812.85791,United States,Incyte Corporation,0.2,2.907,2.984,0.826,106.47,53.56,0.27140212,buy,2.34615,92.59091,125.0,70.0,
L,Financial Services,Insurance - Property & Casualty,15453426529.933104,United States,Loews Corporation,0.046,0.333,0.257,0.623,103.52,78.98,0.21604645,none,,,,,
DVN,Energy,Oil & Gas E&P,27454117597.402344,United States,Devon Energy Corporation,-0.007,0.052,0.065,0.684,40.54,25.89,-0.18665665,buy,1.77419,45.16667,70.0,33.0,
CHD,Consumer Defensive,Household & Personal Products,22833452601.8982,United States,"Church & Dwight Co., Inc.",0.05,,,0.452,116.46,81.33,-0.16093403,hold,2.56522,96.94737,114.0,73.0,
SBAC,Real Estate,REIT - Specialty,26473549643.18848,United States,SBA Communications Corporation,0.097,-0.083,-0.084,0.863,245.16,185.45,-0.1030857,buy,2.22222,235.88235,280.0,192.0,
ON,Technology,Semiconductors,35976202077.765625,United States,ON Semiconductor Corporation,-0.12,-0.326,-0.365,1.571,74.52,31.04,-0.33194965,buy,2.23529,58.66667,80.0,40.0,
WST,Healthcare,Medical Instruments & Supplies,25927650904.740234,United States,"West Pharmaceutical Services, Inc.",0.077,0.038,0.029,1.165,348.9,187.43,-0.12884814,strong_buy,1.46667,350.76923,390.0,310.0,
NI,Utilities,Utilities - Regulated Gas,10300109138.564695,United States,NiSource Inc.,0.183,0.057,0.105,0.63,44.88,34.82,0.21928322,buy,1.69231,45.3,49.0,36.0,
TYL,Technology,Software - Application,17612970298.31543,United States,"Tyler Technologies, Inc.",0.097,0.109,0.112,0.911,661.31,450.0,-0.22130305,buy,1.77778,649.8333,800.0,515.0,
LULU,Consumer Cyclical,Apparel Retail,64520197468.29224,Canada,lululemon athletica inc.,0.065,-0.016,-0.056,1.021,423.32,159.25,-0.48693877,hold,2.88571,194.35889,303.0,120.0,
DGX,Healthcare,Diagnostics & Research,14894580261.688232,United States,Quest Diagnostics Incorporated,0.132,0.085,0.084,0.623,197.55,148.7,0.14724839,buy,2.16667,197.25,215.0,166.0,
NVR,Consumer Cyclical,Residential Construction,22254641184.404297,United States,"NVR, Inc.",-0.049,-0.139,-0.202,1.009,9376.75,6562.85,-0.223472,hold,2.6,8533.333,9200.0,7900.0,
CTRA,Energy,Oil & Gas E&P,18104001550.53711,United States,Coterra Energy Inc.,0.413,0.241,0.278,0.321,29.95,22.33,0.052953124,buy,1.69565,31.91667,38.0,26.0,
CPAY,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
KEY,Financial Services,Banks - Regional,12350254332.39148,United States,KeyCorp,2.026,,,1.106,20.04,12.73,-0.13319981,buy,2.17391,21.50952,43.0,18.0,
IP,Consumer Cyclical,Packaging & Containers,11662509948.6864,United States,International Paper Company,0.328,,,1.058,60.36,35.86,-0.37854838,buy,2.07692,47.16364,57.8,34.0,
CDW,Technology,Information Technology Services,29793541250.0,United States,CDW Corporation,0.04,-0.056,-0.08,,222.92,137.31,-0.30144483,buy,1.90909,190.0,235.0,148.0,
TRMB,Technology,Scientific & Technical Instruments,13234457789.794922,United States,Trimble Inc.,0.006,-0.931,-0.932,1.604,87.5,52.91,0.082048416,none,,97.7,105.0,93.0,
GPN,Industrials,Specialty Business Services,32486159010.71582,United States,Global Payments Inc.,-0.228,1.131,1.016,,120.0,65.93,-0.30493742,buy,2.45161,104.87826,194.0,65.0,
RL,Consumer Cyclical,Apparel Manufacturing,9075616070.661926,United States,Ralph Lauren Corporation,0.137,0.349,0.307,1.548,341.9,176.61,0.48668528,buy,1.63158,356.1706,430.0,185.0,
AMCR,Consumer Cyclical,Packaging & Containers,12907679497.451294,Switzerland,Amcor plc,0.438,,,0.689,10.71,7.67,-0.22843134,buy,1.75,10.42727,12.0,9.0,
BG,Consumer Defensive,Farm Products,13873270369.384766,United States,Bunge Global SA,-0.036,4.438,4.057,0.78,99.55,67.4,0.094915986,buy,1.77778,99.66667,115.0,80.0,
SW,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
EXPD,Industrials,Integrated Freight & Logistics,18146697442.22412,United States,"Expeditors International of Washington, Inc.",-0.035,0.006,-0.032,,140.71,100.47,0.13667202,underperform,3.61111,123.5625,142.0,90.0,
J,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
TSN,Consumer Defensive,Farm Products,17995070689.544678,United States,"Tyson Foods, Inc.",0.04,-0.685,-0.681,0.476,65.95,50.56,-0.12035161,buy,2.5,61.75,80.0,52.0,
GDDY,Technology,Software - Infrastructure,14982573636.84082,United States,GoDaddy Inc.,0.103,0.144,0.105,0.943,216.0,125.0,-0.23110175,buy,2.05556,175.0625,240.0,134.0,
CNC,Healthcare,Healthcare Plans,39643055127.24439,United States,Centene Corporation,0.215,,,0.487,66.81,25.08,-0.4227941,hold,2.8,39.76471,70.0,28.0,
CHRW,Industrials,Integrated Freight & Logistics,9635399121.299744,United States,"C.H. Robinson Worldwide, Inc.",-0.109,0.675,0.676,0.909,158.7,84.68,0.436854,buy,2.11111,152.07692,177.0,77.0,
APTV,Consumer Cyclical,Auto Parts,25378380420.810547,Switzerland,Aptiv PLC,0.074,,,1.514,88.8,47.19,0.5019506,buy,1.90476,97.52941,109.0,60.0,
PKG,Consumer Cyclical,Packaging & Containers,13973671557.116455,United States,Packaging Corporation of America,0.06,-0.049,-0.047,0.906,250.82,172.72,-0.18390661,buy,2.27273,224.9,263.0,155.0,
PFG,Financial Services,Asset Management,17604368490.997314,United States,"Principal Financial Group, Inc.",0.222,,,0.895,90.31,68.39,-0.04736477,hold,2.91667,88.75,103.0,74.0,
SNA,Industrials,Tools & Accessories,14561305847.77832,United States,Snap-on Incorporated,0.036,0.068,0.057,0.777,373.9,289.81,-0.043783903,none,,361.0,405.0,307.0,
IT,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
PNR,Industrials,Specialty Industrial Machinery,11763015997.82422,United Kingdom,Pentair plc,0.029,0.333,0.32,1.207,113.95,74.25,0.04159379,buy,1.9,121.52632,135.0,100.0,
EVRG,Utilities,Utilities - Regulated Electric,11122020030.123411,United States,"Evergy, Inc.",-0.007,-0.177,-0.172,0.635,79.32,59.67,0.26191652,buy,1.84615,82.04545,93.0,70.0,
INVH,Real Estate,REIT - Residential,19733330573.510742,United States,Invitation Homes Inc.,0.065,0.467,0.435,0.834,35.799,27.38,-0.14208633,buy,2.125,35.56818,41.0,30.0,
MKC,Consumer Defensive,Packaged Foods,17608638949.487305,United States,"McCormick & Company, Incorporated",0.027,0.011,0.011,0.627,86.24,63.15,-0.16488391,buy,2.33333,77.38462,91.0,67.0,
ZBH,Healthcare,Medical Devices,25050123995.189453,United States,"Zimmer Biomet Holdings, Inc.",0.07,-0.347,-0.371,0.61,114.72,85.84,-0.063447416,none,,107.68,130.0,93.0,
GPC,Consumer Cyclical,Auto Parts,18421509526.748047,United States,Genuine Parts Company,0.049,0.0,-0.002,0.748,143.48,104.01,-0.0047858357,buy,2.41667,144.77779,190.0,130.0,
LNT,Utilities,Utilities - Regulated Electric,12225007132.44043,United States,Alliant Energy Corporation,0.075,0.996,1.0,0.658,69.75,56.08,0.16824567,buy,2.0,70.9,79.0,64.0,
BBY,Consumer Cyclical,Specialty Retail,15539452825.561523,United States,"Best Buy Co., Inc.",0.016,-0.351,-0.361,1.389,95.49,54.99,-0.11219239,buy,2.37037,80.95238,95.0,60.0,
LII,Industrials,Building Products & Equipment,15666060929.415894,United States,Lennox International Inc.,-0.048,0.045,0.028,1.158,689.44,479.4,-0.18621647,hold,2.68421,572.125,700.0,475.0,
ESS,Real Estate,REIT - Residential,15460197846.844482,United States,"Essex Property Trust, Inc.",0.062,0.389,0.39,0.733,316.29,243.25,-0.126634,hold,2.59259,289.55,318.0,239.0,
HOLX,Healthcare,Medical Instruments & Supplies,17148214189.168943,United States,"Hologic, Inc.",0.062,0.108,0.049,0.705,81.13,51.9,-0.07926452,hold,2.61111,75.58333,80.0,69.0,
DD,Basic Materials,Specialty Chemicals,13359282350.786863,United States,"DuPont de Nemours, Inc.",0.027,-0.669,-0.669,1.09,39.855,22.497908,0.07015777,strong_buy,1.41176,66.65857,114.0,37.64,
PSKY,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
IFF,Basic Materials,Specialty Chemicals,19969250649.506104,United States,International Flavors & Fragrances Inc.,-0.043,2.606,2.6,1.053,94.99,59.14,-0.2978189,buy,1.8,81.95882,105.0,66.0,
WY,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
LUV,Industrials,Airlines,16537833354.275269,United States,Southwest Airlines Co.,0.012,-0.091,-0.194,1.182,37.96,23.82,-0.05479455,hold,2.95455,34.07368,46.0,24.4,
JBHT,Industrials,Integrated Freight & Logistics,20226918953.97949,United States,"J.B. Hunt Transport Services, Inc.",-0.005,0.181,0.124,1.28,200.4,122.79,-0.10465717,buy,1.96,166.1739,186.0,133.0,
DOW,Basic Materials,Chemicals,34422706097.71094,United States,Dow Inc.,-0.083,-0.733,-0.71,0.786,49.7,20.402,-0.53278184,hold,2.7,27.94118,45.0,20.0,
FTV,Technology,Scientific & Technical Instruments,19354417205.911133,United States,Fortive Corporation,0.023,-0.742,-0.752,1.05,62.788242,45.504898,-0.10080522,hold,2.61111,56.9375,66.0,50.0,
GEN,Technology,Software - Infrastructure,14149255483.913574,United States,Gen Digital Inc.,0.303,-0.246,-0.254,1.111,32.22,22.74,-0.111607134,buy,2.18182,33.737,46.0,25.0,
TKO,Communication Services,Entertainment,6636234787.109375,United States,"TKO Group Holdings, Inc.",0.097,0.627,0.664,0.254,212.49,115.12,0.558393,strong_buy,1.42857,220.89474,250.0,171.0,
ERIE,Financial Services,Insurance Brokers,17030390212.805176,United States,Erie Indemnity Company,0.067,0.144,0.144,0.386,456.93,279.78,-0.32380086,strong_buy,1.0,,,,
MAA,Real Estate,REIT - Residential,14820657989.501951,United States,"Mid-America Apartment Communities, Inc.",0.006,-0.139,-0.136,0.776,173.38,125.75,-0.15951562,buy,2.32,153.56,177.0,121.0,
UHS,Healthcare,Medical Care Facilities,10326421722.106934,United States,"Universal Health Services, Inc.",0.134,0.542,0.442,1.285,228.08,152.33,0.1015625,buy,2.21053,243.94118,302.0,190.0,
ALLE,Industrials,Security & Protection Services,10876834881.018066,Ireland,Allegion plc,0.107,0.095,0.082,1.043,180.68,116.57,0.17469668,hold,2.58333,183.09091,203.0,165.0,
OMC,Communication Services,Advertising Agencies,16173318338.928225,United States,Omnicom Group Inc.,0.04,-0.103,-0.116,0.757,107.0,68.37,-0.30001903,buy,1.9,100.88889,115.0,82.0,
FFIV,Technology,Software - Infrastructure,10686394400.90332,United States,"F5, Inc.",0.085,0.163,0.152,0.988,346.0,227.04,0.0052473545,hold,2.92308,291.5,336.0,250.0,
LYB,Basic Materials,Specialty Chemicals,27308397528.94922,United States,LyondellBasell Industries N.V.,-0.102,,,0.75,88.2,43.95,-0.48582667,hold,2.85,55.0,90.0,40.0,
TXT,Industrials,Aerospace & Defense,15735875687.46289,United States,Textron Inc.,0.051,0.105,0.049,1.016,89.28,57.7,-0.09270847,buy,2.21429,92.46154,107.0,86.0,
KIM,Real Estate,REIT - Retail,12195439645.217896,United States,Kimco Realty Corporation,0.056,0.002,0.013,1.064,25.83,17.93,-0.15953946,buy,2.32,24.59091,30.0,22.0,
COO,Healthcare,Medical Instruments & Supplies,4685654890.228272,United States,"The Cooper Companies, Inc.",0.057,-0.058,-0.061,1.06,107.84,61.78,-0.33436114,buy,2.10526,83.0,96.0,64.0,
FOX,Communication Services,Entertainment,13475489759.83789,United States,Fox Corporation,0.049,-0.258,-0.276,0.512,59.99,41.14,0.37210953,none,,,,,
ZBRA,Technology,Communication Equipment,14038118778.356934,United States,Zebra Technologies Corporation,0.052,-0.254,-0.263,1.671,427.76,205.73,-0.33924675,buy,1.82353,358.46667,421.0,309.0,
FOXA,Communication Services,Entertainment,13509295571.228027,United States,Fox Corporation,0.049,-0.258,-0.276,0.512,66.56,44.15,0.41886544,buy,2.05263,70.96875,97.0,55.0,
DPZ,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
AVY,Consumer Cyclical,Packaging & Containers,15773528156.384275,United States,Avery Dennison Corporation,0.015,-0.053,-0.085,1.015,209.83,156.23,-0.14564961,buy,1.66667,202.36365,218.0,180.0,
CF,Basic Materials,Agricultural Inputs,14546540193.359377,United States,"CF Industries Holdings, Inc.",0.202,0.031,-0.081,0.673,104.45,67.34,0.017693758,hold,2.68421,93.70588,110.0,78.0,
BALL,Consumer Cyclical,Packaging & Containers,17709839118.27881,United States,Ball Corporation,0.096,0.811,0.629,,63.35,43.51,-0.2064045,buy,2.26667,59.84615,72.0,48.0,
CLX,Consumer Defensive,Household & Personal Products,16496642167.739868,United States,The Clorox Company,-0.189,-0.187,-0.192,0.565,171.37,107.71,-0.32132757,hold,3.10526,124.76471,166.0,103.0,
EG,Financial Services,Insurance - Reinsurance,14866732464.404297,Bermuda,"Everest Group, Ltd.",-0.009,-0.484,-0.499,0.379,392.78,302.44,-0.13341516,buy,2.4,375.07144,450.0,330.0,
MAS,Industrials,Building Products & Equipment,14606265220.31836,United States,Masco Corporation,-0.033,0.169,0.132,1.273,83.06,56.55,-0.21456176,hold,2.59091,73.83333,86.0,64.0,
NDSN,Industrials,Specialty Industrial Machinery,14720225163.330078,United States,Nordson Corporation,0.121,0.088,0.072,1.019,266.86,165.03,-0.1287638,none,,257.3,285.0,224.0,
WYNN,Consumer Cyclical,Resorts & Casinos,10101696631.088257,United States,"Wynn Resorts, Limited",0.003,-0.298,-0.408,1.099,134.23,65.25,0.4221753,strong_buy,1.44444,134.73529,149.0,110.0,
BF-B,Consumer Defensive,Beverages - Wineries & Distilleries,26472396033.798218,United States,Brown-Forman Corporation,-0.028,-0.123,-0.128,0.41,46.22,25.53,-0.3430972,hold,3.0,30.8,40.0,25.0,
REG,Real Estate,REIT - Retail,11602733349.75122,United States,Regency Centers Corporation,0.077,0.074,0.078,0.943,78.18,63.44,-0.050810218,buy,1.85714,80.05,86.0,75.0,
IEX,Industrials,Specialty Industrial Machinery,15967497323.277832,United States,IDEX Corporation,0.101,0.083,0.073,1.002,238.22,153.36,-0.28539807,buy,2.0,193.84615,212.0,170.0,
DOC,Real Estate,REIT - Healthcare Facilities,4378417476.078033,United States,"Healthpeak Properties, Inc.",0.008,,,1.098,23.05,16.63,-0.2145096,buy,1.9,21.02778,29.0,18.0,
BLDR,Industrials,Building Products & Equipment,20591548481.140137,United States,"Builders FirstSource, Inc.",-0.069,-0.549,-0.57,1.561,194.36,102.6,-0.3789456,buy,2.15789,135.25,166.0,103.0,
VTRS,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
HII,Industrials,Aerospace & Defense,9910813226.272585,United States,"Huntington Ingalls Industries, Inc.",0.161,0.439,0.436,0.367,330.0,158.88,0.55454946,hold,2.7,317.22223,356.0,260.0,
DECK,Consumer Cyclical,Footwear & Accessories,2866550883.09021,United States,Deckers Outdoor Corporation,0.091,0.144,0.107,1.193,223.98,78.91,-0.5172665,buy,2.34615,111.97136,157.0,81.0,
HRL,Consumer Defensive,Packaged Foods,16264015467.681885,United States,Hormel Foods Corporation,0.046,0.031,0.04,0.333,33.8,21.03,-0.29752606,buy,2.5,27.1875,31.0,24.0,
BEN,Financial Services,Asset Management,13214420892.153198,United States,"Franklin Resources, Inc.",-0.028,-0.531,-0.47,1.496,26.08,16.25,0.049233675,none,,24.90909,31.0,20.0,
SOLV,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,No price data for SOLV around 2024-01-01 00:00:00
JKHY,Technology,Information Technology Services,11632701387.185669,United States,"Jack Henry & Associates, Inc.",0.099,0.267,0.262,0.749,196.0,144.12,-0.15509975,hold,2.5625,177.16667,208.0,155.0,
HST,Real Estate,REIT - Hotel & Motel,12761275323.486328,United States,"Host Hotels & Resorts, Inc.",0.083,-0.06,-0.075,1.209,19.36,12.22,-0.10783768,buy,1.94737,18.86111,23.0,16.0,
UDR,Real Estate,REIT - Residential,12484099870.605469,United States,"UDR, Inc.",0.066,0.976,0.788,0.717,46.62,32.94,-0.20799631,hold,2.52174,42.06818,47.0,33.0,
SJM,Consumer Defensive,Packaged Foods,12610361679.840088,United States,The J. M. Smucker Company,-0.006,,,0.211,125.42,93.3,-0.103615284,buy,2.47368,116.875,130.0,105.0,
